In which area do you stay in western line in Mumbai?,What is the carpet area of your current house in square feet?,What is the current price of your house in INR?,How many rooms do you have?,What facilities are available in your current society?,What all facilities are currently available in your nearby area?,Car Parking,24hr Water Supply,Maintenance Staff,Lift,Gas Pipeline,Gym,24hr Security,School,College,Hospitals,Medical,Railway Station,Market
Prabhadevi,1650,47500000,3 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift","College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market","College,Hospitals,Medical,Railway Station,Market"
Santacruz,350,4200000,1 BHK,"Car Parking,Maintenance Staff,Lift,Club house,24Hr Security,Gym","School,College,Medical,Railway Station,Market","Car Parking,Maintenance Staff,Lift,Club house,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,Club house,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,Club house,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,Club house,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,Club house,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,Club house,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,Club house,24Hr Security,Gym","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market"
Bandra,550,20000000,1 BHK,"24hr Water Supply,Gas Pipeline,Lift","School,College,Medical,Railway Station,Market","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market"
Bandra,750,25700000,2 BHK,"Car Parking,Lift","School,College,Medical,Railway Station,Market","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","Car Parking,Lift","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market"
Santacruz,950,20000000,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","School,College,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market","School,College,Medical,Railway Station,Market"
Bandra,850,25000000,2 BHK,"Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market","Hospitals,Medical,Railway Station,Market"
Bandra,833,52600000,2 BHK,"24hr Water Supply,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Santacruz,350,4800000,1 BHK,"24hr Water Supply,Gas Pipeline,Lift","Medical,Railway Station,Market","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market"
Santacruz,550,13000000,1 BHK,"24hr Water Supply,Gas Pipeline,Lift","Medical,Railway Station,Market","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market"
Bandra,1000,35000000,2 BHK,"Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Mahim,815,47800000,2 BHK,"24hr Water Supply,Gas Pipeline,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","24hr Water Supply,Gas Pipeline,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Borivali,552,10000000,1 BHK,"Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","Medical,Market","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","Car Parking,24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Borivali,900,16299999,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,24Hr Security","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market"
Matunga Road,560,18000000,1 BHK,"24hr Water Supply,Gas Pipeline,Lift,Gym","School,College,Hospitals,Medical,Railway Station,Market","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Matunga Road,1130,53000000,3 BHK,"24hr Water Supply,Gas Pipeline,Lift,Gym","School,College,Hospitals,Medical,Railway Station,Market","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","24hr Water Supply,Gas Pipeline,Lift,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Dadar,1240,37500000,2 BHK,"Car Parking,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Kandivali,685,7500000,1 BHK,"Car Parking,Lift,24Hr Security,Gym","Medical,Market","Car Parking,Lift,24Hr Security,Gym","Car Parking,Lift,24Hr Security,Gym","Car Parking,Lift,24Hr Security,Gym","Car Parking,Lift,24Hr Security,Gym","Car Parking,Lift,24Hr Security,Gym","Car Parking,Lift,24Hr Security,Gym","Car Parking,Lift,24Hr Security,Gym","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Kandivali,1054,11000000,2 BHK,"Car Parking,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Khar,950,34800000,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gas Pipeline,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Kandivali,627,7000000,1 BHK,"Car Parking,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Santacruz,1100,18500000,2 BHK,"24hr Water Supply,Gas Pipeline,Lift","Medical,Market","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","24hr Water Supply,Gas Pipeline,Lift","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Kandivali,693,7200000,1 BHK,"Car Parking,Lift,Club house,24Hr Security,Gym","Medical,Market","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Car Parking,Lift,Club house,24Hr Security,Gym","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Malad,650,10000000,1 BHK,"Car Parking,Lift,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Lift,Gym","Car Parking,Lift,Gym","Car Parking,Lift,Gym","Car Parking,Lift,Gym","Car Parking,Lift,Gym","Car Parking,Lift,Gym","Car Parking,Lift,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Andheri,1000,24000000,2 BHK,"Car Parking,Maintenance Staff,24Hr Security","School,Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff,24Hr Security","Car Parking,Maintenance Staff,24Hr Security","Car Parking,Maintenance Staff,24Hr Security","Car Parking,Maintenance Staff,24Hr Security","Car Parking,Maintenance Staff,24Hr Security","Car Parking,Maintenance Staff,24Hr Security","Car Parking,Maintenance Staff,24Hr Security","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market","School,Hospitals,Medical,Railway Station,Market"
Andheri,1120,3900000,2 BHK,"Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Medical,Market","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Andheri,1100,18000000,2 BHK,"Car Parking,Maintenance Staff,Lift,24Hr Security,Gym",Medical,"Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym",Medical,Medical,Medical,Medical,Medical,Medical
Mumbai Central,685,4300000,1 BHK,"Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Medical,Railway Station,Market","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Car Parking,Maintenance Staff,Lift,24Hr Security,Gym","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market","Medical,Railway Station,Market"
Prabhadevi,1000,27500000,2 BHK,"Car Parking,Lift,24Hr Security","Medical,Market","Car Parking,Lift,24Hr Security","Car Parking,Lift,24Hr Security","Car Parking,Lift,24Hr Security","Car Parking,Lift,24Hr Security","Car Parking,Lift,24Hr Security","Car Parking,Lift,24Hr Security","Car Parking,Lift,24Hr Security","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market","Medical,Market"
Prabhadevi,310,12900000,1 BHK,"Car Parking,Maintenance Staff,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","Car Parking,Maintenance Staff,Lift,24Hr Security","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Mumbai Central,1115,5500000,2 BHK,"Car Parking,24hr Water Supply,Maintenance Staff,Gym","School,College,Hospitals,Medical,Railway Station,Market","Car Parking,24hr Water Supply,Maintenance Staff,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gym","Car Parking,24hr Water Supply,Maintenance Staff,Gym","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market","School,College,Hospitals,Medical,Railway Station,Market"
Jogeshwari,1450,29900000,3 BHK,"24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym",Medical,"24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym","24hr Water Supply,Gas Pipeline,Lift,24Hr Security,Gym",Medical,Medical,Medical,Medical,Medical,Medical
